ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
126,Taiwan,750,Yunlin,1,100 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.75,7.83,7.58,7.58,7.58,10.7,7.5,7.5,83.33,0,1
127,Thailand,1300-1500,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.92,7.92,7.75,7.33,7.58,12.3,7.5,7.33,83.33,0,16
128,"Tanzania, United Republic Of",1400-1700,KILIMANJARO,320,60 kg,2022 / 2023,"January 3rd, 2023",Washed / Wet,7.92,7.67,7.42,7.5,7.67,10.4,7.58,7.5,83.25,0,8
129,Brazil,950,Sul de Minas,960,60 kg,2022 / 2023,"February 13th, 2023",Natural / Dry,7.58,7.5,7.5,7.83,7.67,11.6,7.5,7.67,83.25,0,4
130,Taiwan,1100-1200,苗栗縣,1,320 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.75,7.75,7.58,7.67,7.42,9.6,7.5,7.58,83.25,0,1
131,Colombia,1390,Quindio,2,12 kg,2022,"April 7th, 2023",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,10.9,7.58,7.5,83.25,0,2
132,Honduras,1600,"Marcala, La Paz",9,15 kg,2021,"November 15th, 2022",Washed / Wet,7.67,7.75,7.67,7.58,7.5,10.5,7.58,7.5,83.25,0,3
133,Honduras,1400,Marcala,260,69 kg,2021 / 2022,"August 17th, 2022",Washed / Wet,7.75,7.58,7.58,7.58,7.5,11.3,7.58,7.67,83.25,0,5
134,Taiwan,200-300,新竹縣,1,16 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,7.75,7.75,7.5,7.75,7.5,9.7,7.42,7.5,83.17,0,2
135,Taiwan,340,苗栗縣,1,100 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.67,7.67,7.5,7.58,7.58,11.8,7.5,7.67,83.17,0,0
136,Laos,1200 - 1300,"Nongluang Bolaven Plateau, Champasack, Lao PDR",26,60 kg,2022,"December 30th, 2022",Natural / Dry,7.67,7.75,7.33,7.67,7.58,11.8,7.5,7.58,83.08,0,7
137,Honduras,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",250,69 kg,2021 / 2022,"May 23rd, 2022",Washed / Wet,7.67,7.67,7.5,7.58,7.58,10.6,7.5,7.58,83.08,0,7
138,Honduras,1450,"Los Planes de Santa Maria, La Paz",325,69 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.75,7.58,7.58,7.58,7.58,9.6,7.5,7.5,83.08,0,2
139,Colombia,1650,HUILA,600,30 kg,2022 / 2023,"January 13th, 2023",Washed / Wet,8,7.67,7.42,7.58,7.58,13.1,7.42,7.33,83,0,1
140,Taiwan,250-300,新竹縣,1,12 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,8.9,7.5,7.58,82.92,0,0
141,Mexico,1350,"ZONGOLICA, VERACRUZ",141,69 kg,2021 / 2022,"August 11th, 2022",Washed / Wet,7.75,7.5,7.42,7.67,7.58,11.9,7.5,7.5,82.92,2,1
142,Colombia,1350,Quindio,1,12 kg,2021 / 2022,"June 16th, 2022",Washed / Wet,7.58,7.5,7.5,7.67,7.58,11.5,7.5,7.58,82.92,0,3
143,Taiwan,1200,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",300,1 kg,2022,"October 24th, 2022",,7.67,7.5,7.42,7.75,7.42,10.2,7.58,7.58,82.92,0,0
144,Honduras,1280,Marcala,275,69 kg,2022 / 2023,"April 24th, 2023",Washed / Wet,7.67,7.58,7.5,7.5,7.58,10,7.5,7.5,82.83,0,4
